countryName,countryCode,yr_2005,yr_2006,yr_2007,yr_2008,yr_2009,yr_2010,yr_2011,yr_2012,yr_2013,yr_2014,yr_2015,yr_2016,yr_2017,yr_2018,yr_2019,yr_2020
Senegal,SEN,0.21,0.21,0.21,0.21,0.21,0.23,0.23,0.23,0.23,0.23,0.28,0.28,0.28,0.28,0.28,0.28
Serbia,SRB,0.48,0.48,0.5,0.5,0.5,0.52,0.52,0.52,0.52,0.52,0.54,0.54,0.54,0.54,0.54,0.54
Seychelles,SYC,0.46,0.46,0.48,0.48,0.48,0.49,0.49,0.49,0.49,0.49,0.51,0.51,0.51,0.51,0.51,0.51
Sierra Leone,SLE,0.17,0.17,0.18,0.18,0.18,0.19,0.19,0.19,0.19,0.19,0.2,0.2,0.2,0.2,0.2,0.2
Singapore,SGP,0.65,0.65,0.67,0.67,0.67,0.69,0.69,0.69,0.69,0.69,0.82,0.82,0.82,0.82,0.82,0.82
Slovakia,SVK,0.57,0.57,0.59,0.59,0.59,0.6,0.6,0.6,0.6,0.6,0.62,0.62,0.62,0.62,0.62,0.62
Slovenia,SVN,0.69,0.69,0.71,0.71,0.71,0.72,0.72,0.72,0.72,0.72,0.77,0.77,0.77,0.77,0.77,0.77
South Africa,ZAF,0.33,0.33,0.34,0.34,0.34,0.35,0.35,0.35,0.35,0.35,0.38,0.38,0.38,0.38,0.38,0.38
South Korea,KOR,0.72,0.72,0.77,0.77,0.77,0.81,0.81,0.81,0.81,0.81,0.85,0.85,0.85,0.85,0.85,0.85
Spain,ESP,0.71,0.71,0.76,0.76,0.76,0.81,0.81,0.81,0.81,0.81,0.85,0.85,0.85,0.85,0.85,0.85
Sri Lanka,LKA,0.46,0.46,0.46,0.46,0.46,0.49,0.49,0.49,0.49,0.49,0.51,0.51,0.51,0.51,0.51,0.51
Sudan,SDN,0.23,0.23,0.26,0.26,0.26,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26
Sweden,SWE,0.83,0.83,0.77,0.77,0.77,0.78,0.78,0.78,0.78,0.78,0.86,0.86,0.86,0.86,0.86,0.86
Switzerland,CHE,0.73,0.73,0.75,0.75,0.75,0.76,0.76,0.76,0.76,0.76,0.8,0.8,0.8,0.8,0.8,0.8
Syria,SYR,0.44,0.44,0.46,0.46,0.46,0.48,0.48,0.48,0.48,0.48,0.43,0.43,0.43,0.43,0.43,0.43
Taiwan,TWN,0.72,0.72,0.75,0.75,0.75,0.8,0.8,0.8,0.8,0.8,0.82,0.82,0.82,0.82,0.82,0.82
Tajikistan,TJK,0.39,0.39,0.4,0.4,0.4,0.42,0.42,0.42,0.42,0.42,0.44,0.44,0.44,0.44,0.44,0.44
Tanzania,TZA,0.23,0.23,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.29,0.29,0.29,0.29,0.29,0.29
Thailand,THA,0.45,0.45,0.46,0.46,0.46,0.49,0.49,0.49,0.49,0.49,0.51,0.51,0.51,0.51,0.51,0.51
Togo,TGO,0.25,0.25,0.25,0.25,0.25,0.26,0.26,0.26,0.26,0.26,0.27,0.27,0.27,0.27,0.27,0.27
Trinidad and Tobago,TTO,0.51,0.51,0.51,0.51,0.51,0.53,0.53,0.53,0.53,0.53,0.54,0.54,0.54,0.54,0.54,0.54
Tunisia,TUN,0.44,0.44,0.45,0.45,0.45,0.46,0.46,0.46,0.46,0.46,0.48,0.48,0.48,0.48,0.48,0.48
Turkey,TUR,0.46,0.46,0.48,0.48,0.48,0.5,0.5,0.5,0.5,0.5,0.55,0.55,0.55,0.55,0.55,0.55
Uganda,UGA,0.25,0.25,0.25,0.25,0.25,0.27,0.27,0.27,0.27,0.27,0.28,0.28,0.28,0.28,0.28,0.28
Ukraine,UKR,0.52,0.52,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.56,0.56,0.56,0.56,0.56,0.56
United Arab Emirates,ARE,0.51,0.51,0.53,0.53,0.53,0.57,0.57,0.57,0.57,0.57,0.59,0.59,0.59,0.59,0.59,0.59
United Kingdom,GBR,0.72,0.72,0.71,0.71,0.71,0.72,0.72,0.72,0.72,0.72,0.76,0.76,0.76,0.76,0.76,0.76
United States,USA,0.74,0.74,0.75,0.75,0.75,0.77,0.77,0.77,0.77,0.77,0.78,0.78,0.78,0.78,0.78,0.78
Uruguay,URY,0.6,0.6,0.62,0.62,0.62,0.63,0.63,0.63,0.63,0.63,0.66,0.66,0.66,0.66,0.66,0.66
Uzbekistan,UZB,0.47,0.47,0.47,0.47,0.47,0.48,0.48,0.48,0.48,0.48,0.51,0.51,0.51,0.51,0.51,0.51
Venezuela,VEN,0.5,0.5,0.55,0.55,0.55,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56
Vietnam,VNM,0.43,0.43,0.43,0.43,0.43,0.45,0.45,0.45,0.45,0.45,0.48,0.48,0.48,0.48,0.48,0.48
Yemen,YEM,0.28,0.28,0.3,0.3,0.3,0.32,0.32,0.32,0.32,0.32,0.3,0.3,0.3,0.3,0.3,0.3
Zambia,ZMB,0.22,0.22,0.21,0.21,0.21,0.24,0.24,0.24,0.24,0.24,0.31,0.31,0.31,0.31,0.31,0.31
Zimbabwe,ZWE,0.22,0.22,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.29,0.29,0.29,0.29,0.29,0.29
